"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
83,Venezuela,"522,088",,"5,705 ",,"515,212",,"1,171",230,"18,454",202,"3,359,014","118,732"
84,Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,697","2,860","3,216,305","800,660"
85,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,873",233,"3,693,367","34,905"
86,Libya,"501,862",,"6,429 ",,"490,900",,"4,533",101,"71,290",913,"2,476,960","351,857"
87,Cyprus,"470,481","+6,115","1,011 ",+18,"124,370",,"345,100",60,"384,631",827,"9,477,138","7,747,817"
88,Ethiopia,"470,417",+12,"7,510 ",,"454,967",+304,"7,940",15,"3,917",63,"4,763,756","39,667"
89,Mongolia,"469,550",+30,"2,177 ",,"313,256",,"154,117",192,"139,191",645,"4,030,048","1,194,646"
90,Armenia,"422,822",+8,"8,622 ",,"410,548",+13,"3,652",,"142,210","2,900","3,032,179","1,019,828"
91,Honduras,"422,275",,"10,892 ",,"131,100",,"280,283",105,"41,446","1,069","1,263,329","123,996"
92,Oman,"388,995",,"4,257 ",,"384,055",,683,2,"72,838",797,"25,000,000","4,681,140"
93,Bosnia and Herzegovina,"376,699",,"15,756 ",,"192,218",,"168,725",,"116,120","4,857","1,752,716","540,288"
94,Réunion,"374,295",,742 ,,"355,605",,"17,948",10,"412,752",818,"1,603,660","1,768,428"
95,Qatar,"364,089",+77,677 ,,"362,568",+117,844,1,"129,670",241,"3,425,362","1,219,943"
96,Kenya,"323,696",+8,"5,649 ",,"317,909",+7,138,,"5,790",101,"3,581,506","64,064"
97,Zambia,"318,984",,"3,974 ",,"314,075",,935,,"16,518",206,"3,408,441","176,500"
98,North Macedonia,"309,062",,"9,271 ",,"299,064",,727,,"148,358","4,450","2,007,553","963,678"
99,Botswana,"305,859",,"2,688 ",,"303,026",,145,1,"125,497","1,103","2,026,898","831,658"
100,Albania,"274,791",+54,"3,496 ",,"270,869",+17,426,2,"95,675","1,217","1,799,730","626,618"
101,Algeria,"265,761",,"6,874 ",,"178,344",+1,"80,543",6,"5,870",152,"230,861","5,099"
102,Nigeria,"255,685",,"3,143 ",,"249,890",,"2,652",11,"1,187",15,"5,036,813","23,390"
103,Zimbabwe,"247,488",,"5,468 ",,"241,328",,692,12,"16,226",358,"2,239,257","146,809"
104,Uzbekistan,"238,442",+24,"1,637 ",,"236,458",+35,347,23,"6,943",48,"1,377,915","40,122"
105,Montenegro,"234,619",+70,"2,713 ",+2,"231,297",+88,609,6,"373,473","4,319","2,444,820","3,891,730"
